   0.0093099568 245.3450317383  -0.0000000003   0.6650353074   0.0017658733   0.6567385197  19.9557514191   0.8412203193 111.7350692749   2.3143696785   0.0164865181  -0.0164865181  -0.0014069957  -0.0178935137   0.0220509954   0.0220509954   0.0002066691   0.0222576652   2.1964104176  -0.0013957296  -0.0002060375   2.2073726654   0.0097987978 245.1006011963   0.0164865181   0.0052452693  -0.0000662134   0.4559139609   0.4384878278   0.0375595354   0.0220509954   0.1186385155   0.0549304485
   0.0102968467 244.8515777588   0.0000000024   0.6635722518   0.0019076262   0.6564413309  19.9550571442   0.8412840962 111.7330322266   2.3040046692   0.0181992184  -0.0181992184  -0.0015555493  -0.0197547674   0.0241377465   0.0241377465   0.0002399052   0.0243776515   2.3256378174  -0.0015756652  -0.0002379170   2.2769191265   0.0107948957 244.6025390625   0.0181992184   0.0057228683  -0.0000749033   0.4538058937   0.4367772341   0.0426292904   0.0241377465   0.1164676994   0.0591373742
   0.0113022961 244.3488464355   0.0000000001   0.6622762680   0.0020424288   0.6562534571  19.9542751312   0.8413571119 111.7306213379   2.2945163250   0.0199495256  -0.0199495256  -0.0017690458  -0.0217185710   0.0261691418   0.0261691418   0.0002582283   0.0264273696   2.2255525589  -0.0017506450  -0.0002565545   2.2343678474   0.0118096974 244.0951538086   0.0199495256   0.0062047211  -0.0000846134   0.4519297183   0.4350981116   0.0482000411   0.0261691418   0.1099388674   0.0642650351
   0.0123265665 243.8367156982  -0.0000000005   0.6611222625   0.0021694717   0.6561571956  19.9533691406   0.8414608240 111.7279739380   2.2861409187   0.0217350218  -0.0217350218  -0.0019121411  -0.0236471631   0.0281593818   0.0281593818   0.0002758143   0.0284351967   2.2267107964  -0.0019277188  -0.0002826740   2.2636497021   0.0128434366 243.5782775879   0.0217350218   0.0066888062  -0.0000953446   0.4502525330   0.4334309101   0.0542821884   0.0281593818   0.0998014286   0.0704673380
   0.0133699449 243.3150329590  -0.0000000010   0.6600899696   0.0022883299   0.6561421752  19.9523715973   0.8416022658 111.7250976562   2.2780375481   0.0235567186  -0.0235567186  -0.0020854759  -0.0256421939   0.0301134810   0.0301134810   0.0002620235   0.0303755049   1.9657076597  -0.0020753166  -0.0002565488   1.9340583086   0.0138964532 243.0517730713   0.0235567186   0.0071764793  -0.0001070911   0.4487486780   0.4317629635   0.0608848073   0.0301134810   0.0869592354   0.0778716356
   0.0144326948 242.7836456299   0.0000000009   0.6591657996   0.0023985328   0.6561995149  19.9512634277   0.8417365551 111.7223129272   2.2702832222   0.0254178904  -0.0254178904  -0.0022274239  -0.0276453141   0.0320196487   0.0320196487   0.0002374843   0.0322571322   1.6927194595  -0.0022336589  -0.0002401104   1.7066601515   0.0149689373 242.5155334473   0.0254178904   0.0076672365  -0.0001198448   0.4473999441   0.4300856292   0.0680148527   0.0320196487   0.0723815784   0.0863434672
   0.0155150611 242.2424774170   0.0000000005   0.6583374739   0.0024997056   0.6563208103  19.9500579834   0.8419330716 111.7197418213   2.2625648975   0.0273198374  -0.0273198374  -0.0023983088  -0.0297181457   0.0339100100   0.0339100100   0.0001985545   0.0341085643   1.3339971304  -0.0023785767  -0.0001974688   1.3377085924   0.0160611849 241.9694061279   0.0273198374   0.0081602894  -0.0001336050   0.4461911917   0.4283902049   0.0756763071   0.0339100100   0.0567302741   0.0955664217
   0.0166173317 241.6913299561   0.0000000032   0.6575954556   0.0025916232   0.6565009952  19.9487361908   0.8421206474 111.7175521851   2.2554094791   0.0292615574  -0.0292615574  -0.0024911619  -0.0317527205   0.0357790701   0.0357790701   0.0001908384   0.0359699093   1.2530323267  -0.0025252798  -0.0001918193   1.2424564362   0.0171734802 241.4132690430   0.0292615574   0.0086551039  -0.0001483636   0.4451107681   0.4266689718   0.0838692263   0.0357790701   0.0405300111   0.1051146388
   0.0177397691 241.1301116943   0.0000000031   0.6569319367   0.0026741861   0.6567337513  19.9473381042   0.8423709273 111.7154083252   2.2489466667   0.0312430058  -0.0312430058  -0.0027003586  -0.0339433625   0.0376551896   0.0376551896   0.0001654280   0.0378206186   1.0165892839  -0.0026822963  -0.0001628650   1.0075787306   0.0183060560 240.8469696045   0.0312430058   0.0091493987  -0.0001640846   0.4441487789   0.4249140024   0.0925902501   0.0376551896   0.0243033990   0.1145614237
   0.0188826136 240.5587005615   0.0000000035   0.6563410163   0.0027474414   0.6570168138  19.9457950592   0.8426378369 111.7135238647   2.2427232265   0.0332651287  -0.0332651287  -0.0028424594  -0.0361075886   0.0396069475   0.0396069475   0.0001776921   0.0397846401   1.0500786304  -0.0028488515  -0.0001794776   1.0582497120   0.0194591731 240.2704010010   0.0332651287   0.0096432222  -0.0001806840   0.4432969391   0.4231183529   0.1018306762   0.0396069475   0.0087486273   0.1234786510
